id,category_id,pro_label,app_label,search_group_name,homepage_label_name,is_event,conditional_fields,can_expire,is_physical_deposit,is_digital_deposit,online_offline_platform,reimbursement_rule,can_be_duo,can_be_educational,is_selectable,is_bookable_by_underage_when_free,is_bookable_by_underage_when_not_free,can_be_withdrawable
LOCATION_INSTRUMENT,INSTRUMENT,Location instrument,Location instrument,INSTRUMENTS,INSTRUMENT,false,['ean'],true,true,false,OFFLINE,STANDARD,false,false,true,true,true,false
MATERIEL_ART_CREATIF,BEAUX_ARTS,Matériel arts créatifs,Matériel arts créatifs,ARTS_LOISIRS_CREATIFS,BEAUX_ARTS,false,['ean'],true,true,false,OFFLINE,STANDARD,false,false,true,true,true,false
MUSEE_VENTE_DISTANCE,MUSEE,Musée vente à distance,Musée vente à distance,MUSEES_VISITES_CULTURELLES,MUSEE,false,[],false,false,false,ONLINE,STANDARD,false,false,true,true,true,false
OEUVRE_ART,TECHNIQUE,Catégorie technique d'oeuvre d'art,Catégorie technique d'oeuvre d'art,ARTS_LOISIRS_CREATIFS,NONE,false,[],true,true,false,ONLINE_OR_OFFLINE,NOT_REIMBURSED,false,false,false,true,false,false
PARTITION,INSTRUMENT,Partition,Partition,INSTRUMENTS,INSTRUMENT,false,['ean'],true,true,false,OFFLINE,STANDARD,false,false,true,true,true,false
PLATEFORME_PRATIQUE_ARTISTIQUE,PRATIQUE_ART,Pratique artistique - plateforme en ligne,Plateforme de pratique artistique,ARTS_LOISIRS_CREATIFS,PLATEFORME,false,[],true,false,true,ONLINE,NOT_REIMBURSED,false,false,true,true,false,false
PODCAST,MEDIA,Podcast,Podcast,MEDIA_PRESSE,MEDIAS,false,[],false,false,true,ONLINE,NOT_REIMBURSED,false,false,true,true,true,false
PRATIQUE_ART_VENTE_DISTANCE,PRATIQUE_ART,Pratique artistique - vente à distance,Pratique artistique - vente à distance,ARTS_LOISIRS_CREATIFS,COURS,false,['speaker'],false,false,false,ONLINE,STANDARD,false,false,true,true,true,false
RENCONTRE,CONFERENCE,Rencontre,Rencontre,RENCONTRES_CONFERENCES,RENCONTRES,true,['speaker'],false,false,false,OFFLINE,STANDARD,true,true,true,true,true,false
RENCONTRE_EN_LIGNE,CONFERENCE,Rencontre en ligne,Rencontre en ligne,RENCONTRES_CONFERENCES,RENCONTRES,true,['speaker'],false,false,false,ONLINE,NOT_REIMBURSED,false,true,true,true,false,false
RENCONTRE_JEU,JEU,Rencontres - jeux,Rencontres - jeux,JEUX_JEUX_VIDEOS,JEUX,true,[],false,false,false,OFFLINE,STANDARD,true,true,true,true,true,false
SALON,CONFERENCE,"Salon, Convention","Salon, Convention",RENCONTRES_CONFERENCES,RENCONTRES,true,['speaker'],false,false,false,OFFLINE,STANDARD,true,true,true,true,true,false
SEANCE_CINE,CINEMA,Séance de cinéma,Séance de cinéma,FILMS_SERIES_CINEMA,CINEMA,true,"['author', 'visa', 'stageDirector']",false,false,false,OFFLINE,STANDARD,true,true,true,true,true,false
SEANCE_ESSAI_PRATIQUE_ART,PRATIQUE_ART,Séance d'essai,Séance d'essai,ARTS_LOISIRS_CREATIFS,STAGE_ATELIER,true,['speaker'],true,false,false,OFFLINE,STANDARD,true,true,true,true,true,false
SPECTACLE_ENREGISTRE,SPECTACLE,Spectacle enregistré,Spectacle enregistré,SPECTACLES,SPECTACLES,false,"['author', 'showSubType', 'showType', 'stageDirector', 'performer']",false,false,true,ONLINE,NOT_REIMBURSED,false,false,true,true,false,false
SPECTACLE_REPRESENTATION,SPECTACLE,"Spectacle, représentation","Spectacle, représentation",SPECTACLES,SPECTACLES,true,"['author', 'showSubType', 'showType', 'stageDirector', 'performer']",false,false,false,OFFLINE,STANDARD,true,true,true,true,true,true
SPECTACLE_VENTE_DISTANCE,SPECTACLE,Spectacle vivant - vente à distance,Spectacle vivant - vente à distance,SPECTACLES,SPECTACLES,false,"['author', 'showSubType', 'showType', 'stageDirector', 'performer']",false,false,false,ONLINE,STANDARD,false,false,true,true,true,false
SUPPORT_PHYSIQUE_FILM,FILM,"Support physique (DVD, Blu-ray...)","Support physique (DVD, Blu-ray...)",FILMS_SERIES_CINEMA,FILMS,false,['ean'],true,true,false,OFFLINE,STANDARD,false,false,true,true,true,false
SUPPORT_PHYSIQUE_MUSIQUE_CD,MUSIQUE_ENREGISTREE,CD,CD,CD_VINYLE_MUSIQUE_EN_LIGNE,MUSIQUE,false,"['author', 'musicSubType', 'musicType', 'gtl_id', 'performer', 'ean']",true,true,false,OFFLINE,STANDARD,false,false,true,true,true,false
SUPPORT_PHYSIQUE_MUSIQUE_VINYLE,MUSIQUE_ENREGISTREE,Vinyles et autres supports,Vinyles et autres supports,CD_VINYLE_MUSIQUE_EN_LIGNE,MUSIQUE,false,"['author', 'musicSubType', 'musicType', 'gtl_id', 'performer', 'ean']",true,true,false,OFFLINE,STANDARD,false,false,true,true,true,false
TELECHARGEMENT_LIVRE_AUDIO,LIVRE,Livre audio à télécharger,Livre audio à télécharger,LIVRES,LIVRES,false,['author'],false,false,true,ONLINE,NOT_REIMBURSED,false,false,true,true,true,false
TELECHARGEMENT_MUSIQUE,MUSIQUE_ENREGISTREE,Téléchargement de musique,Téléchargement de musique,CD_VINYLE_MUSIQUE_EN_LIGNE,MUSIQUE,false,"['author', 'musicSubType', 'musicType', 'gtl_id', 'performer', 'ean']",false,false,true,ONLINE,NOT_REIMBURSED,false,false,true,true,false,false
VISITE,MUSEE,Visite,Visite,MUSEES_VISITES_CULTURELLES,VISITES,true,[],false,false,false,OFFLINE,STANDARD,true,true,true,true,true,false
VISITE_GUIDEE,MUSEE,Visite guidée,Visite guidée,MUSEES_VISITES_CULTURELLES,VISITES,true,[],false,false,false,OFFLINE,STANDARD,true,true,true,true,true,false
VISITE_VIRTUELLE,MUSEE,Visite virtuelle,Visite virtuelle,MUSEES_VISITES_CULTURELLES,VISITES,false,[],false,false,true,ONLINE,NOT_REIMBURSED,false,false,true,true,false,false
VOD,FILM,Vidéo à la demande,Vidéo à la demande,FILMS_SERIES_CINEMA,FILMS,false,[],false,false,true,ONLINE,NOT_REIMBURSED,false,false,true,true,false,false
